房屋标题,租房地址,租房价格,详情页链接
昌平区沙河镇马池口小区两居室出租 随时看房,昌平-昌平县城租房-马池口红冶家属楼,1500元/月,http://bj.ganji.com/fang1/2818169917x.htm
临近15号线俸伯地铁站150速8公寓独门独卫环境优好免费停车,顺义租房-顺义绿地启航国际,800元/月,http://bj.ganji.com/fang1/2781512705x.htm
国旗公寓招租,石景山-古城租房-国旗公寓,1600元/月,http://bj.ganji.com/fang1/2557826506x.htm
玉泉营公寓出租可月付押一付一步行地铁10号线首经贸站仅需3分,丰台-玉泉营租房-育芳园,800元/月,http://bj.ganji.com/fang1/2471208192x.htm
"个人转租,精装loft,整租南向好房,有班车接送到欢乐谷",朝阳-垡头租房-垡头东里,3100元/月,http://bj.ganji.com/fang1/2840320530x.htm
"loft国际公寓,急租",海淀-苏州桥租房-三义庙2号院,4180元/月,http://bj.ganji.com/fang1/2847210009x.htm
地铁4号线 天宫院保利首开熙悦春天 豪装四居室 配置齐全,大兴租房-熙悦春天,4800元/月,http://bj.ganji.com/fang1/2723721016x.htm
南北通透精装 二 居，主卧客厅都朝南，采光超棒，户型设计合,昌平-南邵租房-兴昌佳苑,2500元/月,http://bj.ganji.com/fang1/2786739274x.htm
精装修两居仅限北京城镇户口或集体户口即可申请无物业费,顺义-顺义城区租房-幸福东区,1200元/月,http://bj.ganji.com/fang1/2785624663x.htm
为你而选 东直门外大街 精装两居室 双南向 高楼层 采光好,东城-东直门租房-东直门外大街18号小区,8200元/月,http://bj.ganji.com/fang1/2846758788x.htm
建新南区，业主刚装修一个月，家电家具配齐，业主人不错。,顺义-胜利租房-建新南区,3000元/月,http://bj.ganji.com/fang1/2846382552x.htm
"跟照片一样,一室一厅一卫一居2500",昌平-天通苑租房-天通中苑(1-37号楼),2500元/月,http://bj.ganji.com/fang1/2844967410x.htm
音乐学院对面 紧邻金融街 长椿街 复兴门 精装两居 即可入住,西城-西便门租房-西便门东里,6000元/月,http://bj.ganji.com/fang1/2899759712x.htm
军博水科院，世纪坛玉渊潭大公园附近，晾果厂，地铁沿线一室一厅,海淀-军博租房-茂林居,4300元/月,http://bj.ganji.com/fang1/2837916618x.htm
富强西里精装两居，仁和医院200米,大兴-黄村租房-富强西里,2400元/月,http://bj.ganji.com/fang1/2822841871x.htm
押一付一 团结湖地铁10号线 朝阳公园呼家楼SOHO嘉盛中心,朝阳-团结湖租房-团结湖北里小区,1500元/月,http://bj.ganji.com/fang3/2909994788x.htm
六二一宿舍2居出租 配套齐全 可短租 可月付房租 免押金 拎,海淀-上地租房-六二一小区,1500元/月,http://bj.ganji.com/fang1/2930144189x.htm
丰台-玉泉营 北京111产业文化园 全新家电随时,丰台-玉泉营租房-草桥欣园三区,2800元/月,http://bj.ganji.com/fang1/2847189297x.htm
明泽生活广场 弘燕路精装单间 10.14号线 随时看房,朝阳-大望路租房-弘燕路小区,800元/月,http://bj.ganji.com/fang3/2930579264x.htm
郁花园一里社区 紧邻地铁口 经典2居室 南北通透 ,大兴-黄村租房-郁花园一里,3600元/月,http://bj.ganji.com/fang1/2924383466x.htm
车站路中仓一居室出租,通州-新华大街租房-中仓小区,2100元/月,http://bj.ganji.com/fang1/2718369775x.htm
新郝家园豪华装修房源，采光好，朝向好，靠谱出租。,昌平-昌平县城租房-新郝家园,2700元/月,http://bj.ganji.com/fang1/2922268163x.htm
热租君安国际精装116平两居室配套全齐 双朝向 真实照片,大兴-亦庄租房-君安国际,7000元/月,http://bj.ganji.com/fang1/2812079770x.htm
个人新装两居室,通州-梨园租房-梨花园,4000元/月,http://bj.ganji.com/fang1/2855253709x.htm
"跃层,三居,家庭住可长租!",丰台-云岗租房-南宫智苑,3400元/月,http://bj.ganji.com/fang1/2934746108x.htm
东亚五环国际 小区环境好 近地铁 出行方便 交通便利,大兴-亦庄租房-东亚逸品阁,3700元/月,http://bj.ganji.com/fang1/2813345911x.htm
紧邻广渠路，双桥医院，门口公交直通管庄，三居室，精装修。,朝阳-其他租房-双桥温泉北里小区,4500元/月,http://bj.ganji.com/fang1/2814570796x.htm
霍营华龙苑南里 押0付一 包物业集中供暖 家具家电全新,昌平-霍营租房-华龙苑南里,3800元/月,http://bj.ganji.com/fang1/2832945609x.htm
大兴 亦庄 亲爱的villa别墅出租 一层带花园 停车方便,大兴-亦庄租房-Dearvilla,30000元/月,http://bj.ganji.com/fang1/2855190565x.htm
融城园南区精装修两居室 家电齐全1700元出租了,怀柔-庙城租房-融城小区(融城园南区),1700元/月,http://bj.ganji.com/fang1/2852333893x.htm
"公寓房间出租,15号线马泉营站。",朝阳-来广营租房-马泉营三区,1800元/月,http://bj.ganji.com/fang1/2931517034x.htm
马家堡、角门东、自然新天地、怡然家园,丰台-西罗园租房-怡然家园(南区),7200元/月,http://bj.ganji.com/fang1/2852899201x.htm
韩家胡同 一般装修 家电齐全,宣武-大栅栏租房-韩家胡同,1500元/月,http://bj.ganji.com/fang1/2842723248x.htm
出租劲松地铁口劲松八区精装修主卧室 面积大 采光好 通风好,朝阳-劲松租房-劲松八区,2800元/月,http://bj.ganji.com/fang3/2839080787x.htm
旧宫 东亚五环国际 精装大3居 可,大兴-旧宫租房-东亚五环国际,5000元/月,http://bj.ganji.com/fang1/2847176038x.htm
可做饭 干净整洁 空间大 环境优雅 居家之选 有钥匙 10平,丰台-看丹桥租房-韩庄子西里,800元/月,http://bj.ganji.com/fang3/2846365756x.htm
领秀慧谷 品质小区 配套成熟 临近地铁 出行方便,昌平-回龙观租房-领秀慧谷,5000元/月,http://bj.ganji.com/fang1/2830935468x.htm
个人直租非中介、楼房、设备齐全、交通便利、干净卫生,昌平-天通苑租房-小沙河村,400元/月,http://bj.ganji.com/fang1/2788231632x.htm
蛋壳公寓 押一付一 四方景园五区 地铁十号线十线亦庄线,丰台-成寿寺租房-四方景园五区,2660元/月,http://bj.ganji.com/fang3/2868097712x.htm
首邑上城 大三居 随时看房 可做员工宿舍 可办公,大兴-枣园租房-首邑上城,6500元/月,http://bj.ganji.com/fang1/2868154178x.htm
马家堡角门西地铁站4+10号线 出租 交通方便 可月付 精装,丰台-马家堡租房-瑞丽江畔(南区),1700元/月,http://bj.ganji.com/fang1/2867288027x.htm
角门西站4/10双线地铁个人婚房 首次出租步行地铁口三分钟 ,丰台-马家堡租房-角门7号院,5800元/月,http://bj.ganji.com/fang1/2846875419x.htm
值得一看，生活设施 齐全，包物业取暖，采光好，视野开阔,昌平-沙河租房-北街家园八区,1800元/月,http://bj.ganji.com/fang1/2841599815x.htm
南华大街地处怀柔城北交通方便 拧包入住,怀柔-怀柔租房-南华园四区,3300元/月,http://bj.ganji.com/fang1/2805235263x.htm
天坛医院旁 天坛公园南门 永内东街南北通透明厨明卫两居出租,崇文-天坛租房-永定门东街中里,4500元/月,http://bj.ganji.com/fang1/2842622833x.htm
通惠家园惠民园 近地铁温馨舒适 好住不贵 比公寓更便宜 欢迎,朝阳-四惠租房-通惠家园惠民园,4000元/月,http://bj.ganji.com/fang1/2792590150x.htm
【稀缺房源】德胜门 孔子学院 德胜国际 德隆家园 精装三居室,西城-德胜门租房-德隆家园,7200元/月,http://bj.ganji.com/fang1/1404293135x.htm
地铁周边次卧出租家电齐全押一付一,昌平-天通苑租房-天通苑西三区,600元/月,http://bj.ganji.com/fang3/2743283740x.htm
朝阳 双井 押一付一 劲松 国贸 可月付 随时看房！！！,朝阳-双井租房-黄木庄,5500元/月,http://bj.ganji.com/fang1/2319447345x.htm
五道口清华大学周边精装主卧，面加大，朝南向，诚心出租,海淀-五道口租房-华清嘉园西区,2900元/月,http://bj.ganji.com/fang3/2868608969x.htm
首邑上城 大三居 随时看房 可做员工宿舍 可办公,大兴-枣园租房-首邑上城,6500元/月,http://bj.ganji.com/fang1/2868154178x.htm
马家堡角门西地铁站4+10号线 出租 交通方便 可月付 精装,丰台-马家堡租房-瑞丽江畔(南区),1700元/月,http://bj.ganji.com/fang1/2867288027x.htm
平原里 精装全齐 4号陶然亭地铁,宣武-菜市口租房-平原里,3400元/月,http://bj.ganji.com/fang1/523690092x.htm
石门营两居室2600元房子没出租过，人住,门头沟-永定租房-石门营新区七区东苑,2600元/月,http://bj.ganji.com/fang1/2684005216x.htm
图片真实 周边超市 商场 网咖 银行 轻松方便,朝阳-双井租房-百环家园,550元/月,http://bj.ganji.com/fang3/2768590238x.htm
可月付三居室4200北七家冠华苑,昌平-北七家租房-龙冠冠华苑,4200元/月,http://bj.ganji.com/fang1/2843411773x.htm
个人3400出租两居室冠华苑,昌平-北七家租房-龙冠冠华苑,3400元/月,http://bj.ganji.com/fang1/2847104692x.htm
安定门内大街 大格胡同 复式 安定门地铁独立卫生间全新家电,东城-雍和宫租房-安定门东大街小区,2300元/月,http://bj.ganji.com/fang1/2718925035x.htm
檀营生态城 电梯观景房 精装家电齐全能长租 临冶仙塔,密云-密云城区租房-檀营国际生态城(南区),1300元/月,http://bj.ganji.com/fang1/2938955639x.htm
永安西里 2室1厅1卫,房山-房山城关租房-房山永安西里,1600元/月,http://bj.ganji.com/fang1/2939763008x.htm
五路居 慈寿寺 车道沟 长春桥 花园桥 板井路 五福精装次卧,海淀-花园桥租房-美丽星苑,1750元/月,http://bj.ganji.com/fang3/2937740513x.htm
老山西里 全新家电+能合租+押一付一 随时能看,石景山-老山租房-老山西里,5600元/月,http://bj.ganji.com/fang1/2853526684x.htm
"房东直租,中介勿扰!物资学院地铁口精品公寓",通州-永顺租房-通州物资学院路西富河园2号院,2000元/月,http://bj.ganji.com/fang1/2865376439x.htm
五道口清华大学南门 清华科技园附近 西王庄婚房一居 ,海淀-五道口租房-西王庄小区,4900元/月,http://bj.ganji.com/fang1/2938603697x.htm
新宫地铁口一居室 ,丰台-新宫租房-翠海明苑,3700元/月,http://bj.ganji.com/fang1/2814807012x.htm
西苑 新建宫门 西苑操场 西苑中信所 精装两居 ,海淀-西苑租房-新建宫门路21号院,5500元/月,http://bj.ganji.com/fang1/2853438619x.htm
三元桥 霞光里 中装 低层一居室 鹏润、海航、天元港大厦附近,朝阳-三元桥租房-霞光里小区,4700元/月,http://bj.ganji.com/fang1/2852769655x.htm
合生世界花园精装一居出租2500 家电全齐 随时看房,通州-马驹桥租房-合生世界花园,2500元/月,http://bj.ganji.com/fang1/2852613235x.htm
昌平-沙河 巩华家园南一村,昌平-沙河租房-巩华家园南一村,2700元/月,http://bj.ganji.com/fang1/2937905174x.htm
大兴-亦庄 林肯公寓,大兴-亦庄租房-林肯公寓,13800元/月,http://bj.ganji.com/fang1/2846197167x.htm
新房来袭！知春路 保利海德公园 精装 全新的享受 价格能谈,海淀-蓟门桥租房-保利海德公园,7000元/月,http://bj.ganji.com/fang1/2852525374x.htm
两居室宁馨苑靠谱出租，交通便利,昌平-昌平县城租房-宁馨苑,2800元/月,http://bj.ganji.com/fang1/2775829490x.htm
草房 畅心园 像素南区 图片真实 看房随时 可月付,朝阳-常营租房-中弘北京像素南区,3400元/月,http://bj.ganji.com/fang1/2806537620x.htm
图片真实！物暖双包！押一付一！宋庄小堡精装三居沃德中心长青藤,通州-宋庄租房-宋庄当代艺术园,3500元/月,http://bj.ganji.com/fang1/2847629386x.htm
中国音乐学院 306医院 地理研究所科学园南里六区次卧室,朝阳-奥运村租房-科学园南里六区,2100元/月,http://bj.ganji.com/fang3/2841536820x.htm
朝阳-工体 康堡财富堡座,朝阳-工体租房-康堡财富堡座,18000元/月,http://bj.ganji.com/fang1/2937839621x.htm
牡丹园地铁 建德门地铁 华盛家园 牡丹园北里 精美大主带阳台,海淀-牡丹园租房-牡丹园北里,1500元/月,http://bj.ganji.com/fang3/2844868450x.htm
合租温馨小卧 安贞 和平西桥 易亨大厦 蓝星大厦附近胜古南里,朝阳-安贞租房-胜古南里,1600元/月,http://bj.ganji.com/fang3/2845937494x.htm
绿地国际花都，独立两居室，环境绿化好，全家电都是好的！看房随,密云-密云租房-绿地国际花都,2600元/月,http://bj.ganji.com/fang1/2816039187x.htm
北苑路北5号线北卫家园新出精装大次卧室 干净整洁有排面可月付,朝阳-北苑租房-北卫家园,2200元/月,http://bj.ganji.com/fang3/2839131040x.htm
绣菊园 百套房可月付、一千五以上可选择、致电了解或+微信,朝阳-北苑租房-绣菊园北区,2000元/月,http://bj.ganji.com/fang3/2823805614x.htm
团结湖中路南二条5号楼,朝阳-团结湖租房-团结湖中路南二条5号楼,7200元/月,http://bj.ganji.com/fang1/2846817780x.htm
凯盛家园一区1室1厅1卫对外招租,海淀-温泉租房-凯盛家园一区,2786元/月,http://bj.ganji.com/fang1/2780290654x.htm
荣京道 经开大厦 数码庄园附近南海家园六里两居室室,大兴-亦庄租房-南海家园六里,3300元/月,http://bj.ganji.com/fang1/2884798052x.htm
百子湾大郊亭地铁迪卡侬附近大成国际超大豪华南向大开间随时看房,朝阳-国贸租房-大成国际公寓,4450元/月,http://bj.ganji.com/fang1/2936026268x.htm
西直门。玉桃园，次卧室出租，随时看，家具齐全，,西城-西直门租房-玉桃园,1500元/月,http://bj.ganji.com/fang3/2832768493x.htm
真实照片和平东桥南煤炭大厦和平街十三区正规二居室和住次卧,朝阳-和平街租房-和平街十三区,2500元/月,http://bj.ganji.com/fang3/2766698365x.htm
枫蓝国际中心 西直门北大街 文慧园 红联北村 可月付,西城-展览路租房-北礼士路149号院,900元/月,http://bj.ganji.com/fang3/2935136195x.htm
华中伟业为您选好房 周末一起狼人杀 宋家庄 顶秀金颐,丰台-宋家庄租房-顶秀金颐家园,1600元/月,http://bj.ganji.com/fang3/2928674444x.htm
牡丹园 塔院 北医三院 华盛家园精装修大主卧出租,海淀-牡丹园租房-华盛家园,2600元/月,http://bj.ganji.com/fang3/2918499404x.htm
精品单间押一付一，无，随时看房入住欢迎来电,朝阳-定福庄租房-珠江绿洲家园,1100元/月,http://bj.ganji.com/fang3/2832284227x.htm
大屯里小区大主卧带阳台落地飘窗紧邻地铁温馨舒适的生活从此开始,朝阳-大屯租房-大屯里小区,3000元/月,http://bj.ganji.com/fang3/2911332533x.htm
望京区域，员工宿舍，可住4到6人，免水电，空调，免,朝阳-望京租房-望京人文社科院,3200元/月,http://bj.ganji.com/fang1/2796656220x.htm
临近地铁总部基地世界公园万达广场班车直达精装修,丰台-科技园区租房-3U创意谷青年社区,2500元/月,http://bj.ganji.com/fang1/2700778141x.htm
有钥匙 随时看房 押0付一 玉桥家园 大2居,通州-北关租房-玉桥家园,3800元/月,http://bj.ganji.com/fang1/2857582867x.htm
中关村 海淀黄庄 长春桥 板井 车道沟 世纪城 和泓四季月付,海淀-四季青租房-常青园北里,2150元/月,http://bj.ganji.com/fang3/2857453921x.htm
松榆西里正规主卧室 三家合住能做饭有空调 适合情侣居住面积大,朝阳-潘家园租房-松榆西里,2100元/月,http://bj.ganji.com/fang3/2857445791x.htm
旧宫新苑南区 精装2居 家电全齐 ,大兴-旧宫租房-旧宫新苑南区,4300元/月,http://bj.ganji.com/fang1/2842056601x.htm
壹线国际 近地铁温馨舒适 好住不贵 比公寓更便宜 欢迎来电,朝阳-四惠租房-壹线国际,4150元/月,http://bj.ganji.com/fang1/2792590462x.htm
整租 加州水郡西区 2居室 有钥匙 看房方便,房山-长阳租房-加州水郡(西区),2800元/月,http://bj.ganji.com/fang1/2753474389x.htm
大屯里小区大主卧带阳台落地飘窗紧邻地铁温馨舒适的生活从此开始,朝阳-大屯租房-大屯里小区,3000元/月,http://bj.ganji.com/fang3/2911332533x.htm
北亚花园精装2居2800月有钥匙,昌平-北七家租房-北亚花园,2800元/月,http://bj.ganji.com/fang1/2903335070x.htm
上地 梅园出租一居室 全南向家具家电齐全 看房随时 紧靠地铁,海淀-上地租房-梅园,4500元/月,http://bj.ganji.com/fang1/2904195668x.htm
北锣鼓巷一间北房可以洗澡做饭采光好,东城-安定门租房-车辇店胡同,2500元/月,http://bj.ganji.com/fang1/2700938157x.htm
！霞光里豪装一居室 月底到期 可提前看房 ,朝阳-三元桥租房-霞光里小区,5500元/月,http://bj.ganji.com/fang1/2869358117x.htm
宣武门长椿街老墙根两室两厅精装房屋随时看房,宣武-长椿街租房-老墙根129号院,7800元/月,http://bj.ganji.com/fang1/2933580806x.htm
百亭鱼乐园小型别墅，单间公寓出租或整租,海淀-西北旺租房-百亭鱼乐园,1200元/月,http://bj.ganji.com/fang1/2877557762x.htm
积水潭地铁德胜门西大街甲5号院真实大一居出租,西城-积水潭租房-地铁建安物业太平湖小区,5000元/月,http://bj.ganji.com/fang1/2886688826x.htm
玉海园 泽丰苑 玉泉新城 金泰商厦 永金里 五路居玉泉路地铁,海淀-玉泉路租房-玉海园二里,2200元/月,http://bj.ganji.com/fang3/2861659007x.htm
高碑店 中海安德鲁斯庄园别墅CBD高尔夫 京城雅居 办公居家,朝阳-高碑店租房-中海安德鲁斯庄园,20000元/月,http://bj.ganji.com/fang1/2770278633x.htm
五一特惠 地铁沿线 4号线 天宫院 保利春天里 全南两居室,大兴-黄村租房-保利春天里,3800元/月,http://bj.ganji.com/fang1/2715602028x.htm
回龙观 龙西三街附近出租精装小单间 12平米 800 ！！,昌平-回龙观租房-三合庄园,800元/月,http://bj.ganji.com/fang3/2926089089x.htm
北七家西口 望都家园 桃园公寓20平朝南主卧室 家具齐随时住,昌平-北七家租房-望都家园桃园公寓望都新地,1100元/月,http://bj.ganji.com/fang3/2934873065x.htm
维亚大厦 长远天地 鼎好大厦 中关村SOHO 巴沟 万柳,海淀-中关村租房-科源社区,900元/月,http://bj.ganji.com/fang3/2935733489x.htm
北京朝阳15号线地铁走路300米，多路公交枢纽，毗邻机场。,朝阳-望京租房-北京京粹*生旦净末丑京粹文化主题酒店,1800元/月,http://bj.ganji.com/fang1/2850707590x.htm
为你而选 金荣园小区 四居室 干净整洁 看房方便,大兴-西红门租房-金荣园,4000元/月,http://bj.ganji.com/fang1/2935296137x.htm
"全部真实图片,精装修两居室出租,南银大厦对面,有电梯,四小旁",朝阳-三元桥租房-三源里北小街小区,6600元/月,http://bj.ganji.com/fang1/2773042733x.htm
"次出租,全部全新家具家电,全部真实图片",朝阳-三元桥租房-新源街小区,12000元/月,http://bj.ganji.com/fang1/2871615560x.htm
"全部真实图片,随时,嘉诚广场对面,三源里小区",朝阳-三元桥租房-三源里生态小区,6600元/月,http://bj.ganji.com/fang1/2725131735x.htm
滨河东里 滨河西里 清源东里 清源西里 富强西里,大兴-黄村租房-滨河东里,2100元/月,http://bj.ganji.com/fang1/2843680002x.htm
"香江北岸两居室，望京崔各庄附近马泉营善各庄14,15号线地铁",朝阳-望京租房-香江北岸,4500元/月,http://bj.ganji.com/fang1/2934809246x.htm
皂君庙 四道口 交大东路 铁科院精装两居室 家具齐全,海淀-皂君庙租房-皂君东里,6000元/月,http://bj.ganji.com/fang1/2934334964x.htm
九棵树地铁 通景园新出800单间 押一付一随时看房,通州-果园租房-通景园,800元/月,http://bj.ganji.com/fang3/2913099866x.htm
房子位于怀柔城南 南华园四区,怀柔-怀柔租房-南华园四区,1500元/月,http://bj.ganji.com/fang1/2849861449x.htm
"全部真实图片,全部真实图片,次出租精装修一居室,",朝阳-三元桥租房-三源里生态小区,5300元/月,http://bj.ganji.com/fang1/2808762907x.htm
"全部真实图片,次出租三源里精装修一居室",朝阳-三元桥租房-三源里生态小区,5300元/月,http://bj.ganji.com/fang1/2892337856x.htm
"全部真实图片,房东直租全部真实图片,",朝阳-三元桥租房-新源街小区,4700元/月,http://bj.ganji.com/fang1/2870611340x.htm
为你而选 中海紫荆豪庭 3室2厅 139平,租房-中海紫荆豪庭,14000元/月,http://bj.ganji.com/fang1/2918434673x.htm
门头沟 东辛房 新东山 一居南向 2000精装修 ,门头沟-其他租房-新东山,2000元/月,http://bj.ganji.com/fang1/2838867137x.htm
力天嘉苑  一居室 1600急租,昌平-昌平县城租房-力天嘉苑,1600元/月,http://bj.ganji.com/fang1/2724130134x.htm
护国寺小吃街 平安里地铁附近出租精装房屋 随时看房,西城-什刹海租房-棉花胡同小区,3000元/月,http://bj.ganji.com/fang1/2663222569x.htm
西源里 电梯房 2室2厅1卫 家具家电齐全 我有钥匙随时看房,密云-密云租房-西源里,1800元/月,http://bj.ganji.com/fang1/2847609516x.htm
"全部真实图片,精装修次卧室,家具家电齐全,随时入驻",朝阳-三元桥租房-新源街小区,2400元/月,http://bj.ganji.com/fang1/2806455508x.htm
将台路公寓出租单身公寓,朝阳-酒仙桥租房-将台路小区,1900元/月,http://bj.ganji.com/fang1/2840074744x.htm
昌平水屯市场国储库一居室65平米出租1700,昌平-南口租房-伊舍小镇北区,1700元/月,http://bj.ganji.com/fang1/2846153124x.htm
百子湾 公寓loft上下层复式押一付一 精装修,朝阳-百子湾租房-沿海赛洛城南区,3600元/月,http://bj.ganji.com/fang1/2930641289x.htm
月付 精装次卧 安定门地铁雍和大厦红都商务中心洲际大厦附近,东城-安定门租房-安外西河沿,1300元/月,http://bj.ganji.com/fang3/2932659473x.htm
燕郊 燕顺路 纳丹堡 精装两居 全新壁纸装修 随时看房,燕郊-燕顺路租房-纳丹堡,1500元/月,http://bj.ganji.com/fang1/2837334192x.htm
"全部真实图片,精装修一居室一厅,随时",朝阳-三元桥租房-三源里生态小区,5300元/月,http://bj.ganji.com/fang1/2804553189x.htm
通州宋庄一层独门独院能停车平房简单装修随时看房面积300多平,通州-北关环岛租房-宋庄当代艺术园,4600元/月,http://bj.ganji.com/fang1/2915886182x.htm
中仓小区六中附近两居室出租,通州-新华大街租房-西顺城街27号院,2400元/月,http://bj.ganji.com/fang1/2715093409x.htm
久隆商场 酒仙桥中心小学正对面两间筒子楼出租,朝阳-酒仙桥租房-七街坊,1500元/月,http://bj.ganji.com/fang1/2840073130x.htm
找房子不能将就！告别隔断合租！这满足你对租房所有的要求,海淀-五道口租房-五道口公寓,800元/月,http://bj.ganji.com/fang1/2785287700x.htm
暖瓶厂宿舍的两居室出租，好楼层好位置，几乎为空房子，,昌平-城南租房-鹿牌家园,1600元/月,http://bj.ganji.com/fang1/2813518723x.htm
"全部真实图片!全部真实就在嘉诚广场对面,",朝阳-三元桥租房-三源里生态小区,5300元/月,http://bj.ganji.com/fang1/2677176334x.htm
五棵松 五孔桥 定慧桥 慈寿寺 半壁店 田村出租单间,海淀-田村租房-田村路41号院,850元/月,http://bj.ganji.com/fang3/2940555971x.htm
13号线柳芳 国展 家乐福 力鸿花园 左家庄北里1居随时看房,朝阳-左家庄租房-左家庄北里,4500元/月,http://bj.ganji.com/fang1/2940552044x.htm
精装可月付 软件园 西二旗 西北旺 八维教育 北大生物城,海淀-马连洼租房-菊园,1650元/月,http://bj.ganji.com/fang3/2940553166x.htm
免中 介费！东直门 采光好+60平客厅，13号线临香河园,东城-东直门租房-万国城MOMA,43000元/月,http://bj.ganji.com/fang1/2940545228x.htm
(单间出租)出门就是万达广场 出门就是北苑地铁站 公交直达国,通州-北关租房-旅游新村,600元/月,http://bj.ganji.com/fang1/2940552257x.htm
鑫隆市场附近，乔庄东区，大主卧，带客厅，可做饭,通州-乔庄租房-乔庄东区,1350元/月,http://bj.ganji.com/fang3/2940549572x.htm
通州6号线 98平南北 苏驼新村 李庄佳苑 包物业取暖,通州-其他租房-李庄佳苑,2800元/月,http://bj.ganji.com/fang1/2849550402x.htm
芍药居精装两居室 紧邻地铁 外经贸旁 惠新西街 文学馆 月付,朝阳-芍药居租房-芍药居北里小区,5500元/月,http://bj.ganji.com/fang1/2849547765x.htm
久隆商场 酒仙桥中心小学正对面两间筒子楼出租,朝阳-酒仙桥租房-七街坊,1500元/月,http://bj.ganji.com/fang1/2840073130x.htm
找房子不能将就！告别隔断合租！这满足你对租房所有的要求,海淀-五道口租房-五道口公寓,800元/月,http://bj.ganji.com/fang1/2785287700x.htm
暖瓶厂宿舍的两居室出租，好楼层好位置，几乎为空房子，,昌平-城南租房-鹿牌家园,1600元/月,http://bj.ganji.com/fang1/2813518723x.htm
望京酒仙桥大山子地坛医院蟹岛三元桥南北通透金盏嘉园大三居,朝阳-其他租房-金盏嘉园C区,5500元/月,http://bj.ganji.com/fang1/2727480497x.htm
合租或者整租小区都有电梯公寓出租,海淀-西二旗租房-上地佳园,900元/月,http://bj.ganji.com/fang3/2708927272x.htm
学院路 农业大学 大2居 80平米 仅此一套7500,海淀-学院路租房-农业大学东校区家属院,7500元/月,http://bj.ganji.com/fang1/2789673532x.htm
大望路地铁口SOHO现代城90平精装修办公两居室随时起租,朝阳-国贸租房-SOHO现代城,11000元/月,http://bj.ganji.com/fang1/2849339157x.htm
菜市口陶然亭地铁站附近 南横西街南半截胡同可洗澡做饭平房出租,宣武-牛街租房-南半截胡同小区,1500元/月,http://bj.ganji.com/fang1/2848792425x.htm
朝阳北苑地铁口 北五环百平办公用房 铁建广场有钥匙随时看房,朝阳-北苑租房-中国铁建广场,13000元/月,http://bj.ganji.com/fang1/2889872870x.htm
丰台 科技园 怡海花园正规一居 包物业取暖,丰台-科技园区租房-怡海花园,3700元/月,http://bj.ganji.com/fang1/2846018556x.htm
朝阳-健翔桥 华严北里小区,朝阳-健翔桥租房-华严北里小区,8500元/月,http://bj.ganji.com/fang1/2851745563x.htm
常青园 德顺园 两居室出租 2套 可以看房,海淀-四季青租房-常青园(一区),6500元/月,http://bj.ganji.com/fang1/2846106174x.htm
"20先到先的得,租不租是缘分,看一看是享受",海淀-西二旗租房-西二旗铭科苑,900元/月,http://bj.ganji.com/fang1/2838153582x.htm
路劲世界城 精装两居室 配置齐全 搬进来就能住 距地铁二百米,昌平-南邵租房-路劲世界城,3300元/月,http://bj.ganji.com/fang1/2917983785x.htm
上河湾84平米，精装修，月租金2200，全家电，,密云-密云城区租房-北京城建上河湾,2200元/月,http://bj.ganji.com/fang1/2837135367x.htm
旧宫云龙家园，精装两居，环境很给力，价格不高哦！！5000元,大兴-旧宫租房-云龙家园,5000元/月,http://bj.ganji.com/fang1/2932744244x.htm
祥和乐园祥安领寓青年社区,通州-土桥租房-祥安领寓社区,1500元/月,http://bj.ganji.com/fang1/2834356884x.htm
为你而选 温哥华森林 4室2厅 229平,昌平-北七家租房-温哥华森林,16000元/月,http://bj.ganji.com/fang1/2922512402x.htm
豆各庄，绿丰家园正规次卧，朝南，干净整洁，，价格便宜,朝阳-豆各庄租房-绿丰家园,1000元/月,http://bj.ganji.com/fang3/2791058175x.htm
北小街桥歌华大厦东直门内北小街8号院三居室和住次卧,东城-东直门租房-东直门内北小街8号院,2400元/月,http://bj.ganji.com/fang3/2931322364x.htm
花园小区 鼓楼附近 精装2居 全家电 有钥匙 看房随时,密云-密云城区租房-花园小区,1500元/月,http://bj.ganji.com/fang1/2930995682x.htm
步行广阳城地铁口(押一付一/0中介)世茂维拉 精装3居合租,房山-长阳租房-世茂维拉,1270元/月,http://bj.ganji.com/fang3/2923650701x.htm
亚运村小营 联合大学附近 精装两居急租,朝阳-小营租房-育慧里一区,6500元/月,http://bj.ganji.com/fang1/2854007902x.htm
海淀区温泉上庄路馨悦嘉园优质房源转租,海淀-温泉租房-馨悦家园,2500元/月,http://bj.ganji.com/fang1/2845885290x.htm
沙河地铁站800米 900出租 家具家电齐全 ,昌平-沙河镇租房-五福家园,900元/月,http://bj.ganji.com/fang1/2925264014x.htm
芍药居北里，押一付一，靠近地铁十号线十三号线，对外经贸大学,朝阳-芍药居租房-芍药居北里小区,2500元/月,http://bj.ganji.com/fang3/2916066218x.htm
南湖中园二区 正规大一居 紧挨14望京站 望京SOHO,朝阳-望京租房-南湖中园二区,4600元/月,http://bj.ganji.com/fang1/2915838467x.htm
右内西街甲10号院 二环里 紧邻徐悲鸿中学 红旗大学随时看房,宣武-白纸坊租房-右内大街甲10号院,3200元/月,http://bj.ganji.com/fang1/2915472263x.htm
